gene	uniprot_accession	description
hla	P09616	Alpha-hemolysin
hld	P0C1V1	Delta-hemolysin
hlgA	P0A074	Gamma-hemolysin component A
hlgB	P0A077	Gamma-hemolysin component B
hlgC	Q07227	Gamma-hemolysin component C
psmA1	A9JX05	Phenol-soluble modulin alpha 1 peptide
psmA2	A9JX06	Phenol-soluble modulin alpha 2 peptide
psmA3	A9JX07	Phenol-soluble modulin alpha 3 peptide
psmA4	A9JX08	Phenol-soluble modulin alpha 4 peptide
psmB2	A0A0D1J7L3	Phenol-soluble modulin beta2
selx	G0Z024	Enterotoxin
seg	Q9EZM3	Enterotoxin
sei	A0A0H3JSY8	Enterotoxin
selm	Q9EZM7	Enterotoxin
seln	A0A0H3JS72	Enterotoxin
selo	Q9EZM8	Enterotoxin
selu	Q6XXM3	Enterotoxin
selu2	T1YB53	Enterotoxin
selv	A0FKY6	Enterotoxin
lukD	O54082	Leucotoxin LukD
lukE	O54081	Leucotoxin LukE
sed_virC	Q52075	Enterotoxin
sej	O85217	Enterotoxin
sej	Q76LS7	Enterotoxin
ser	Q76LS8	Enterotoxin
ses	B0I1V7	Enterotoxin
set	B0I1V6	Enterotoxin
etb	P09332	Exfoliative toxin B
sel	A0A0H3JSD8	Enterotoxin
sec_sec3	P0A0L5	Enterotoxin
tst	P06886	Toxic shock syndrome toxin-1
seb	P01552	Enterotoxin
selk_sek	Q93CC5	Enterotoxin
selq1_sei	Q93CC6	Enterotoxin
sel2	A0A0H3JZC7	Enterotoxin
sec	A0A0H3JV60	Enterotoxin
lukF	P31715	Leukocidin-F subunit
lukM	Q53703	Leukocidin-M subunit
eta	P09331	Exfoliative toxin A
lukF-PV	A0A0H2XFK0	Panton-Valentine leukocidin, LukF subunit
lukS-PV	A0A0H2XI46	Panton-Valentine leukocidin, LukS subunit
sea	P0A0L2	Enterotoxin
selk_sek2	Q93CC5	Enterotoxin
selq2_seq	A0A0H3JX85	Enterotoxin
